Site,construct_L1_nc,construct_toa5_from_nc,pull_slow_flux,update_EddyPro_master,parse_main_fast_data,push_main_fast_flux,push_cosmoz,pull_profile_raw
AliceSpringsMulga,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
AlpinePeatland,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Boolcoomatta,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Boyagin,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Calperum,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
CowBay,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CumberlandPlain,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Dookie1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dookie2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dookie3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fletcherview,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Gingin,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
GreatWesternWoodlands,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
HowardSprings,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Litchfield,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MyallValeA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MyallValeB,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ridgefield,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RobsonCreek,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SilverPlains,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SnowGum,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SturtPlains,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TiTreeEast,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tumbarumba,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Wedgetail,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Wellington,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Whroo,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WombatStateForest,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Yanco,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
